year,city,month,application
2023,Yamanashi,8,2027
2023,Nagano,8,4160
2023,Gifu,8,4409
2023,Shizuoka,8,9086
2023,Aichi,8,24432
2023,Mie,8,4096
2023,Shiga,8,4460
2023,Kyoto,8,9804
2023,Osaka,8,30390
2023,Hyogo,8,16370
2023,Nara,8,3963
2023,Wakayama,8,1670
2023,Tottori,8,863
2023,Shimane,8,935
2023,Okayama,8,4005
2023,Hiroshima,8,6669
2023,Yamaguchi,8,2585
2023,Tokushima,8,1121
2023,Kagawa,8,1891
2023,Ehime,8,2346
2023,Kochi,8,995
2023,Fukuoka,8,18325
2023,Saga,8,2072
2023,Nagasaki,8,3325
2023,Kumamoto,8,4276
2023,Oita,8,2086
2023,Miyazaki,8,1534
2023,Kagoshima,8,2259
2023,Okinawa,8,4340
2023,Hokkaido,7,7531
2023,Aomori,7,966
2023,Iwate,7,1081
2023,Miyagi,7,3584
2023,Akita,7,674
2023,Yamagata,7,1621
2023,Fukushima,7,2041
2023,Ibaraki,7,5732
2023,Tochigi,7,3320
2023,Gunma,7,3302
2023,Saitama,7,20089
2023,Chiba,7,18433
2023,Tokyo,7,70323
2023,Kanagawa,7,34284
2023,Niigata,7,2499
2023,Toyama,7,1730
2023,Ishikawa,7,2374
2023,Fukui,7,1587
2023,Yamanashi,7,1623
2023,Nagano,7,3381
2023,Gifu,7,4490
2023,Shizuoka,7,7886
2023,Aichi,7,21779
2023,Mie,7,3563
2023,Shiga,7,4194
2023,Kyoto,7,8604
2023,Osaka,7,29656
2023,Hyogo,7,18219
2023,Nara,7,3904
2023,Wakayama,7,1669
2023,Tottori,7,887
2023,Shimane,7,751
2023,Okayama,7,3367
2023,Hiroshima,7,5644
2023,Yamaguchi,7,2197
2023,Tokushima,7,1162
2023,Kagawa,7,1590
2023,Ehime,7,2100
2023,Kochi,7,919
2023,Fukuoka,7,14888
2023,Saga,7,1619
2023,Nagasaki,7,2271
2023,Kumamoto,7,3249
2023,Oita,7,1934
2023,Miyazaki,7,1327
2023,Kagoshima,7,1939
2023,Okinawa,7,4017
2023,Hokkaido,6,7305
2023,Aomori,6,1048
2023,Iwate,6,1160
2023,Miyagi,6,3806
2023,Akita,6,731
2023,Yamagata,6,1164
2023,Fukushima,6,2145
2023,Ibaraki,6,6106
2023,Tochigi,6,3525
2023,Gunma,6,3517
2023,Saitama,6,21148
2023,Chiba,6,20352
2023,Tokyo,6,76854
2023,Kanagawa,6,37204
2023,Niigata,6,2706
2023,Toyama,6,1718
2023,Ishikawa,6,2655
2023,Fukui,6,1391
2023,Yamanashi,6,1674
2023,Nagano,6,3425
2023,Gifu,6,4532
2023,Shizuoka,6,8138
2023,Aichi,6,23415
2023,Mie,6,3705
2023,Shiga,6,4326
2023,Kyoto,6,8750
2023,Osaka,6,31102
2023,Hyogo,6,18128
2023,Nara,6,3910
2023,Wakayama,6,1813
2023,Tottori,6,882
2023,Shimane,6,715
2023,Okayama,6,3587
2023,Hiroshima,6,5852
2023,Yamaguchi,6,2346
2023,Tokushima,6,1198
2023,Kagawa,6,1638
2023,Ehime,6,1915
2023,Kochi,6,980
2023,Fukuoka,6,16106
2023,Saga,6,1699
2023,Nagasaki,6,2076
2023,Kumamoto,6,3634
2023,Oita,6,1955
2023,Miyazaki,6,1379
2023,Kagoshima,6,2139
2023,Okinawa,6,3593
2023,Hokkaido,5,6352
2023,Aomori,5,768
2023,Iwate,5,990
2023,Miyagi,5,3283
2023,Akita,5,561
2023,Yamagata,5,984
2023,Fukushima,5,1929
2023,Ibaraki,5,5743
2023,Tochigi,5,3311
2023,Gunma,5,3315
2023,Saitama,5,19434
2023,Chiba,5,18250
2023,Tokyo,5,67006
2023,Kanagawa,5,33871
2023,Niigata,5,2450
2023,Toyama,5,1428
2023,Ishikawa,5,2229
2023,Fukui,5,1372
2023,Yamanashi,5,1383
2023,Nagano,5,3114
2023,Gifu,5,3764
2023,Shizuoka,5,7423
2023,Aichi,5,21607
2023,Mie,5,3862
2023,Shiga,5,3779
2023,Kyoto,5,7767
2023,Osaka,5,27979
2023,Hyogo,5,14170
2023,Nara,5,3428
2023,Wakayama,5,1604
2023,Tottori,5,672
2023,Shimane,5,708
2023,Okayama,5,3130
2023,Hiroshima,5,5113
2023,Yamaguchi,5,2125
2023,Tokushima,5,1143
2023,Kagawa,5,1505
2023,Ehime,5,1957
2023,Kochi,5,965
2023,Fukuoka,5,14015
2023,Saga,5,1318
2023,Nagasaki,5,1908
2023,Kumamoto,5,3196
2023,Oita,5,1923
2023,Miyazaki,5,1288
2023,Kagoshima,5,1795
2023,Okinawa,5,3415
2023,Hokkaido,4,5486
2023,Aomori,4,648
2023,Iwate,4,692
2023,Miyagi,4,2600
2023,Akita,4,497
2023,Yamagata,4,743
2023,Fukushima,4,1484
2023,Ibaraki,4,4581
2023,Tochigi,4,2554
2023,Gunma,4,2731
2023,Saitama,4,15871
2023,Chiba,4,14339
2023,Tokyo,4,55061
2023,Kanagawa,4,26606
2023,Niigata,4,1828
2023,Toyama,4,1159
2023,Ishikawa,4,1685
2023,Fukui,4,1031
2023,Yamanashi,4,994
2023,Nagano,4,2378
2023,Gifu,4,2871
2023,Shizuoka,4,5690
2023,Aichi,4,15723
2023,Mie,4,2572
2023,Shiga,4,2676
2023,Kyoto,4,6103
2023,Osaka,4,22455
2023,Hyogo,4,12790
2023,Nara,4,2608
2023,Wakayama,4,1208
2023,Tottori,4,447
2023,Shimane,4,558
2023,Okayama,4,2345
2023,Hiroshima,4,4007
2023,Yamaguchi,4,1573
2023,Tokushima,4,792
2023,Kagawa,4,1186
2023,Ehime,4,1314
2023,Kochi,4,664
2023,Fukuoka,4,10839
2023,Saga,4,1078
2023,Nagasaki,4,1450
2023,Kumamoto,4,2575
2023,Oita,4,1367
2023,Miyazaki,4,1069
2023,Kagoshima,4,1383
2023,Okinawa,4,2672
2023,Hokkaido,3,6031
2023,Aomori,3,815
2023,Iwate,3,814
2023,Miyagi,3,2804
2023,Akita,3,621
2023,Yamagata,3,862
2023,Fukushima,3,1657
2023,Ibaraki,3,5046
2023,Tochigi,3,2575
2023,Gunma,3,2746
2023,Saitama,3,16343
2023,Chiba,3,15248
2023,Tokyo,3,57462
2023,Kanagawa,3,27980
2023,Niigata,3,2057
2023,Toyama,3,1298
2023,Ishikawa,3,1779
2023,Fukui,3,1185
2023,Yamanashi,3,1245
2023,Nagano,3,2800
2023,Gifu,3,3131
2023,Shizuoka,3,6103
2023,Aichi,3,17665
2023,Mie,3,2792
2023,Shiga,3,2955
2023,Kyoto,3,6370
2023,Osaka,3,23654
2023,Hyogo,3,12888
2023,Nara,3,2808
2023,Wakayama,3,1222
2023,Tottori,3,526
2023,Shimane,3,565
2023,Okayama,3,2755
2023,Hiroshima,3,4311
2023,Yamaguchi,3,1811
2023,Tokushima,3,828
2023,Kagawa,3,1280
2023,Ehime,3,1387
2023,Kochi,3,771
2023,Fukuoka,3,11875
2023,Saga,3,1192
2023,Nagasaki,3,1685
2023,Kumamoto,3,2680
2023,Oita,3,1460
2023,Miyazaki,3,997
2023,Kagoshima,3,1465
2023,Okinawa,3,2599
2023,Hokkaido,2,4689
2023,Aomori,2,538
2023,Iwate,2,644
2023,Miyagi,2,2147
2023,Akita,2,401
2023,Yamagata,2,669
