year,month,category,application
2020,5,official,657
2020,4,general_5_years,14033
2020,4,general_10_years,26044
2020,4,information_changing,1654
2020,4,diplomatic,104
2020,4,official,466
2020,3,general_5_years,69334
2020,3,general_10_years,91675
2020,3,information_changing,5738
2020,3,diplomatic,170
2020,3,official,992
2020,2,general_5_years,96697
2020,2,general_10_years,159015
2020,2,information_changing,6305
2020,2,diplomatic,237
2020,2,official,1998
2020,1,general_5_years,153324
2020,1,general_10_years,244526
2020,1,information_changing,8348
2020,1,diplomatic,138
2020,1,official,2157
2019,12,general_5_years,119735
2019,12,general_10_years,184670
2019,12,information_changing,7914
2019,12,diplomatic,138
2019,12,official,1802
2019,11,general_5_years,105284
2019,11,general_10_years,180017
2019,11,information_changing,7204
2019,11,diplomatic,152
2019,11,official,1891
2019,10,general_5_years,106068
2019,10,general_10_years,191306
2019,10,information_changing,7927
2019,10,diplomatic,155
2019,10,official,2400
2019,9,general_5_years,100194
2019,9,general_10_years,187561
2019,9,information_changing,8128
2019,9,diplomatic,214
2019,9,official,1930
2019,8,general_5_years,174539
2019,8,general_10_years,227780
2019,8,information_changing,9597
2019,8,diplomatic,213
2019,8,official,1844
2019,7,general_5_years,184050
2019,7,general_10_years,248537
2019,7,information_changing,9808
2019,7,diplomatic,341
2019,7,official,1974
2019,6,general_5_years,158780
2019,6,general_10_years,220628
2019,6,information_changing,9072
2019,6,diplomatic,356
2019,6,official,1764
2019,5,general_5_years,145744
2019,5,general_10_years,215575
2019,5,information_changing,9346
2019,5,diplomatic,206
2019,5,official,2450
2019,4,general_5_years,135594
2019,4,general_10_years,203496
2019,4,information_changing,8204
2019,4,diplomatic,315
2019,4,official,2056
2019,3,general_5_years,168599
2019,3,general_10_years,222867
2019,3,information_changing,8269
2019,3,diplomatic,178
2019,3,official,1735
2019,2,general_5_years,150295
2019,2,general_10_years,226728
2019,2,information_changing,7570
2019,2,diplomatic,224
2019,2,official,2092
2019,1,general_5_years,156765
2019,1,general_10_years,248980
2019,1,information_changing,8459
2019,1,diplomatic,121
2019,1,official,1919
2018,12,general_5_years,115937
2018,12,general_10_years,176675
2018,12,information_changing,6976
2018,12,diplomatic,106
2018,12,official,1861
2018,11,general_5_years,109847
2018,11,general_10_years,185033
2018,11,information_changing,7156
2018,11,diplomatic,150
2018,11,official,2045
2018,10,general_5_years,114587
2018,10,general_10_years,207427
2018,10,information_changing,8513
2018,10,diplomatic,179
2018,10,official,2300
2018,9,general_5_years,92732
2018,9,general_10_years,174020
2018,9,information_changing,7117
2018,9,diplomatic,127
2018,9,official,2075
2018,8,general_5_years,191779
2018,8,general_10_years,248922
2018,8,information_changing,10457
2018,8,diplomatic,252
2018,8,official,2661
2018,7,general_5_years,164546
2018,7,general_10_years,218101
2018,7,information_changing,8434
2018,7,diplomatic,290
2018,7,official,2065
2018,6,general_5_years,145990
2018,6,general_10_years,206826
2018,6,information_changing,8119
2018,6,diplomatic,329
2018,6,official,2101
2018,5,general_5_years,142832
2018,5,general_10_years,220368
2018,5,information_changing,9168
2018,5,diplomatic,273
2018,5,official,2307
2018,4,general_5_years,124290
2018,4,general_10_years,192235
2018,4,information_changing,8407
2018,4,diplomatic,340
2018,4,official,2010
2018,3,general_5_years,156447
2018,3,general_10_years,207573
2018,3,information_changing,8376
2018,3,diplomatic,228
2018,3,official,2035
2018,2,general_5_years,133008
2018,2,general_10_years,198253
2018,2,information_changing,6887
2018,2,diplomatic,207
2018,2,official,1883
2018,1,general_5_years,138387
2018,1,general_10_years,218943
2018,1,information_changing,7839
2018,1,diplomatic,127
2018,1,official,2059
2017,12,general_5_years,110568
2017,12,general_10_years,167644
2017,12,information_changing,6714
2017,12,diplomatic,112
2017,12,official,1982
2017,11,general_5_years,97144
2017,11,general_10_years,164158
2017,11,information_changing,6724
2017,11,diplomatic,119
2017,11,official,2262
2017,10,general_5_years,94283
2017,10,general_10_years,169947
2017,10,information_changing,7153
2017,10,diplomatic,168
2017,10,official,1928
2017,9,general_5_years,93677
2017,9,general_10_years,175439
2017,9,information_changing,7563
2017,9,diplomatic,186
2017,9,official,2419
2017,8,general_5_years,182692
2017,8,general_10_years,229617
2017,8,information_changing,10334
2017,8,diplomatic,271
2017,8,official,2652
2017,7,general_5_years,149989
2017,7,general_10_years,196147
2017,7,information_changing,8143
2017,7,diplomatic,269
2017,7,official,2290
2017,6,general_5_years,144110
2017,6,general_10_years,198657
