year,month,gender,age,value
2011,10,female,under_19,11006
2011,10,male,20-29,6730
2011,10,male,30-39,8873
2011,10,male,40-49,8590
2011,10,male,50-59,7874
2011,10,male,60-69,8927
2011,10,male,70-79,5991
2011,10,male,over_80,1758
2011,10,male,under_19,11569
2011,11,female,20-29,6433
2011,11,female,30-39,8552
2011,11,female,40-49,8422
2011,11,female,50-59,7906
2011,11,female,60-69,9457
2011,11,female,70-79,7301
2011,11,female,over_80,2726
2011,11,female,under_19,10999
2011,11,male,20-29,6720
2011,11,male,30-39,8853
2011,11,male,40-49,8610
2011,11,male,50-59,7859
2011,11,male,60-69,8921
2011,11,male,70-79,6007
2011,11,male,over_80,1761
2011,11,male,under_19,11559
2011,12,female,20-29,6425
2011,12,female,30-39,8531
2011,12,female,40-49,8437
2011,12,female,50-59,7888
2011,12,female,60-69,9450
2011,12,female,70-79,7320
2011,12,female,over_80,2727
2011,12,female,under_19,10992
2011,12,male,20-29,6713
2011,12,male,30-39,8833
2011,12,male,40-49,8629
2011,12,male,50-59,7844
2011,12,male,60-69,8914
2011,12,male,70-79,6024
2011,12,male,over_80,1763
2011,12,male,under_19,11552
2012,1,female,20-29,6426
2012,1,female,30-39,8521
2012,1,female,40-49,8460
2012,1,female,50-59,7879
2012,1,female,60-69,9451
2012,1,female,70-79,7335
2012,1,female,over_80,2728
2012,1,female,under_19,10995
2012,1,male,20-29,6712
2012,1,male,30-39,8818
2012,1,male,40-49,8654
2012,1,male,50-59,7836
2012,1,male,60-69,8917
2012,1,male,70-79,6039
2012,1,male,over_80,1761
2012,1,male,under_19,11553
2012,2,female,20-29,6410
2012,2,female,30-39,8488
2012,2,female,40-49,8459
2012,2,female,50-59,7849
2012,2,female,60-69,9437
2012,2,female,70-79,7362
2012,2,female,over_80,2734
2012,2,female,under_19,10982
2012,2,male,20-29,6699
2012,2,male,30-39,8785
2012,2,male,40-49,8654
2012,2,male,50-59,7808
2012,2,male,60-69,8906
2012,2,male,70-79,6067
2012,2,male,over_80,1770
2012,2,male,under_19,11537
2012,3,female,20-29,6399
2012,3,female,30-39,8462
2012,3,female,40-49,8466
2012,3,female,50-59,7829
2012,3,female,60-69,9435
2012,3,female,70-79,7375
2012,3,female,over_80,2740
2012,3,female,under_19,10974
2012,3,male,20-29,6690
2012,3,male,30-39,8758
2012,3,male,40-49,8663
2012,3,male,50-59,7789
2012,3,male,60-69,8903
2012,3,male,70-79,6083
2012,3,male,over_80,1777
2012,3,male,under_19,11532
2012,4,female,20-29,6389
2012,4,female,30-39,8441
2012,4,female,40-49,8481
2012,4,female,50-59,7813
2012,4,female,60-69,9431
2012,4,female,70-79,7374
2012,4,female,over_80,2752
2012,4,female,under_19,10974
2012,4,male,20-29,6680
2012,4,male,30-39,8732
2012,4,male,40-49,8674
2012,4,male,50-59,7772
2012,4,male,60-69,8901
2012,4,male,70-79,6090
2012,4,male,over_80,1788
2012,4,male,under_19,11530
2012,5,female,20-29,6378
2012,5,female,30-39,8414
2012,5,female,40-49,8489
2012,5,female,50-59,7801
2012,5,female,60-69,9435
2012,5,female,70-79,7387
2012,5,female,over_80,2760
2012,5,female,under_19,10960
2012,5,male,20-29,6670
2012,5,male,30-39,8706
2012,5,male,40-49,8686
2012,5,male,50-59,7761
2012,5,male,60-69,8905
2012,5,male,70-79,6101
2012,5,male,over_80,1794
2012,5,male,under_19,11516
2012,6,female,20-29,6369
2012,6,female,30-39,8393
2012,6,female,40-49,8508
2012,6,female,50-59,7793
2012,6,female,60-69,9438
2012,6,female,70-79,7392
2012,6,female,over_80,2767
2012,6,female,under_19,10954
2012,6,male,20-29,6662
2012,6,male,30-39,8683
2012,6,male,40-49,8706
2012,6,male,50-59,7752
2012,6,male,60-69,8909
2012,6,male,70-79,6108
2012,6,male,over_80,1799
2012,6,male,under_19,11507
2012,7,female,20-29,6360
2012,7,female,30-39,8376
2012,7,female,40-49,8536
2012,7,female,50-59,7782
2012,7,female,60-69,9441
2012,7,female,70-79,7402
2012,7,female,over_80,2773
2012,7,female,under_19,10953
2012,7,male,20-29,6653
2012,7,male,30-39,8664
2012,7,male,40-49,8731
2012,7,male,50-59,7742
2012,7,male,60-69,8910
2012,7,male,70-79,6117
2012,7,male,over_80,1804
2012,7,male,under_19,11507
2012,8,female,20-29,6351
2012,8,female,30-39,8359
2012,8,female,40-49,8562
2012,8,female,50-59,7771
2012,8,female,60-69,9441
2012,8,female,70-79,7415
2012,8,female,over_80,2781
2012,8,female,under_19,10951
2012,8,male,20-29,6643
2012,8,male,30-39,8643
2012,8,male,40-49,8758
2012,8,male,50-59,7734
2012,8,male,60-69,8913
2012,8,male,70-79,6130
2012,8,male,over_80,1810
2012,8,male,under_19,11505
2012,9,female,20-29,6331
2012,9,female,30-39,8332
2012,9,female,40-49,8576
2012,9,female,50-59,7760
2012,9,female,60-69,9440
2012,9,female,70-79,7428
2012,9,female,over_80,2787
2012,9,female,under_19,10929
2012,9,male,20-29,6625
2012,9,male,30-39,8621
2012,9,male,40-49,8782
2012,9,male,50-59,7725
2012,9,male,60-69,8912
2012,9,male,70-79,6144
2012,9,male,over_80,1815
2012,9,male,under_19,11482
2012,10,female,20-29,6314
2012,10,female,30-39,8312
2012,10,female,40-49,8596
2012,10,female,50-59,7751
2012,10,female,60-69,9438
2012,10,female,70-79,7439
2012,10,female,over_80,2796
2012,10,female,under_19,10920
2012,10,male,20-29,6612
2012,10,male,30-39,8601
2012,10,male,40-49,8804
2012,10,male,50-59,7719
2012,10,male,60-69,8911
2012,10,male,70-79,6156
2012,10,male,over_80,1822
2012,10,male,under_19,11472
2012,11,female,20-29,6303
2012,11,female,30-39,8289
2012,11,female,40-49,8614
2012,11,female,50-59,7740
2012,11,female,60-69,9436
2012,11,female,70-79,7444
2012,11,female,over_80,2806
2012,11,female,under_19,10912
2012,11,male,20-29,6601
2012,11,male,30-39,8577
2012,11,male,40-49,8820
2012,11,male,50-59,7708
2012,11,male,60-69,8909
2012,11,male,70-79,6161
2012,11,male,over_80,1830
2012,11,male,under_19,11464
2012,12,female,20-29,6294
2012,12,female,30-39,8269
2012,12,female,40-49,8630
2012,12,female,50-59,7731
2012,12,female,60-69,9432
2012,12,female,70-79,7445
2012,12,female,over_80,2817
2012,12,female,under_19,10907
2012,12,male,20-29,6593
2012,12,male,30-39,8555
2012,12,male,40-49,8839
2012,12,male,50-59,7698
2012,12,male,60-69,8906
2012,12,male,70-79,6163
2012,12,male,over_80,1840
2012,12,male,under_19,11460
2013,1,female,20-29,6294
2013,1,female,30-39,8257
2013,1,female,40-49,8657
2013,1,female,50-59,7727
