year,city,age_group,application
2021,Nagasaki,40-49,369
2021,Nagasaki,50-59,365
2021,Nagasaki,60-69,351
2021,Nagasaki,70-79,244
2021,Nagasaki,over_80,45
2021,Nagasaki,under_19,444
2021,Nagano,20-29,733
2021,Nagano,30-39,629
2021,Nagano,40-49,875
2021,Nagano,50-59,808
2021,Nagano,60-69,689
2021,Nagano,70-79,450
2021,Nagano,over_80,92
2021,Nagano,under_19,878
2021,Miyazaki,20-29,243
2021,Miyazaki,30-39,205
2021,Miyazaki,40-49,269
2021,Miyazaki,50-59,246
2021,Miyazaki,60-69,236
2021,Miyazaki,70-79,130
2021,Miyazaki,over_80,29
2021,Miyazaki,under_19,366
2021,Miyagi,20-29,868
2021,Miyagi,30-39,698
2021,Miyagi,40-49,800
2021,Miyagi,50-59,755
2021,Miyagi,60-69,678
2021,Miyagi,70-79,390
2021,Miyagi,over_80,55
2021,Miyagi,under_19,809
2021,Mie,20-29,718
2021,Mie,30-39,683
2021,Mie,40-49,772
2021,Mie,50-59,814
2021,Mie,60-69,607
2021,Mie,70-79,327
2021,Mie,over_80,43
2021,Mie,under_19,804
2021,Kyoto,20-29,2279
2021,Kyoto,30-39,1535
2021,Kyoto,40-49,1806
2021,Kyoto,50-59,1689
2021,Kyoto,60-69,1344
2021,Kyoto,70-79,937
2021,Kyoto,over_80,136
2021,Kyoto,under_19,1978
2021,Kumamoto,20-29,646
2021,Kumamoto,30-39,547
2021,Kumamoto,40-49,705
2021,Kumamoto,50-59,543
2021,Kumamoto,60-69,518
2021,Kumamoto,70-79,296
2021,Kumamoto,over_80,40
2021,Kumamoto,under_19,648
2021,Kochi,20-29,186
2021,Kochi,30-39,149
2021,Kochi,40-49,203
2021,Kochi,50-59,185
2021,Kochi,60-69,179
2021,Kochi,70-79,99
2021,Kochi,over_80,26
2021,Kochi,under_19,192
2021,Kanagawa,20-29,10003
2021,Kanagawa,30-39,8325
2021,Kanagawa,40-49,9828
2021,Kanagawa,50-59,9731
2021,Kanagawa,60-69,6988
2021,Kanagawa,70-79,4430
2021,Kanagawa,over_80,800
2021,Kanagawa,under_19,10817
2021,Kagoshima,20-29,387
2021,Kagoshima,30-39,283
2021,Kagoshima,40-49,314
2021,Kagoshima,50-59,379
2021,Kagoshima,60-69,380
2021,Kagoshima,70-79,225
2021,Kagoshima,over_80,46
2021,Kagoshima,under_19,404
2021,Kagawa,20-29,295
2021,Kagawa,30-39,230
2021,Kagawa,40-49,354
2021,Kagawa,50-59,307
2021,Kagawa,60-69,308
2021,Kagawa,70-79,173
2021,Kagawa,over_80,31
2021,Kagawa,under_19,302
2021,Iwate,20-29,265
2021,Iwate,30-39,198
2021,Iwate,40-49,229
2021,Iwate,50-59,205
2021,Iwate,60-69,231
2021,Iwate,70-79,136
2021,Iwate,over_80,18
2021,Iwate,under_19,233
2021,Ishikawa,20-29,471
2021,Ishikawa,30-39,349
2021,Ishikawa,40-49,364
2021,Ishikawa,50-59,342
2021,Ishikawa,60-69,296
2021,Ishikawa,70-79,169
2021,Ishikawa,over_80,15
2021,Ishikawa,under_19,414
2021,Ibaraki,20-29,1346
2021,Ibaraki,30-39,1111
2021,Ibaraki,40-49,1206
2021,Ibaraki,50-59,1260
2021,Ibaraki,60-69,1078
2021,Ibaraki,70-79,604
2021,Ibaraki,over_80,82
2021,Ibaraki,under_19,1503
2021,Hyogo,20-29,3556
2021,Hyogo,30-39,3119
2021,Hyogo,40-49,3659
2021,Hyogo,50-59,3703
2021,Hyogo,60-69,3121
2021,Hyogo,70-79,1899
2021,Hyogo,over_80,328
2021,Hyogo,under_19,3426
2021,Hokkaido,20-29,1918
2021,Hokkaido,30-39,1313
2021,Hokkaido,40-49,1597
2021,Hokkaido,50-59,1597
2021,Hokkaido,60-69,1551
2021,Hokkaido,70-79,953
2021,Hokkaido,over_80,181
2021,Hokkaido,under_19,1729
2021,Hiroshima,20-29,1295
2021,Hiroshima,30-39,1144
2021,Hiroshima,40-49,1263
2021,Hiroshima,50-59,1308
2021,Hiroshima,60-69,1017
2021,Hiroshima,70-79,651
2021,Hiroshima,over_80,119
2021,Hiroshima,under_19,1205
2021,Gunma,20-29,770
2021,Gunma,30-39,539
2021,Gunma,40-49,740
2021,Gunma,50-59,701
2021,Gunma,60-69,542
2021,Gunma,70-79,293
2021,Gunma,over_80,61
2021,Gunma,under_19,981
2021,Gifu,20-29,739
2021,Gifu,30-39,583
2021,Gifu,40-49,680
2021,Gifu,50-59,704
2021,Gifu,60-69,639
2021,Gifu,70-79,426
2021,Gifu,over_80,43
2021,Gifu,under_19,789
2021,Fukushima,20-29,457
2021,Fukushima,30-39,338
2021,Fukushima,40-49,446
2021,Fukushima,50-59,490
2021,Fukushima,60-69,441
2021,Fukushima,70-79,205
2021,Fukushima,over_80,26
2021,Fukushima,under_19,461
2021,Fukuoka,20-29,2761
2021,Fukuoka,30-39,2142
2021,Fukuoka,40-49,2512
2021,Fukuoka,50-59,2400
2021,Fukuoka,60-69,2221
2021,Fukuoka,70-79,1341
2021,Fukuoka,over_80,233
2021,Fukuoka,under_19,2639
2021,Fukui,20-29,223
2021,Fukui,30-39,185
2021,Fukui,40-49,221
2021,Fukui,50-59,234
2021,Fukui,60-69,191
2021,Fukui,70-79,96
2021,Fukui,over_80,16
2021,Fukui,under_19,209
2021,Ehime,20-29,409
2021,Ehime,30-39,309
2021,Ehime,40-49,345
2021,Ehime,50-59,357
2021,Ehime,60-69,362
2021,Ehime,70-79,189
2021,Ehime,over_80,34
2021,Ehime,under_19,385
2021,Chiba,20-29,5006
2021,Chiba,30-39,4045
2021,Chiba,40-49,4752
2021,Chiba,50-59,4854
2021,Chiba,60-69,4212
2021,Chiba,70-79,2802
2021,Chiba,over_80,421
2021,Chiba,under_19,5162
2021,Aomori,20-29,234
2021,Aomori,30-39,211
2021,Aomori,40-49,188
2021,Aomori,50-59,223
2021,Aomori,60-69,239
2021,Aomori,70-79,119
2021,Aomori,over_80,19
2021,Aomori,under_19,286
2021,Akita,20-29,184
2021,Akita,30-39,117
2021,Akita,40-49,156
2021,Akita,50-59,162
2021,Akita,60-69,150
2021,Akita,70-79,72
2021,Akita,over_80,14
2021,Akita,under_19,179
2021,Aichi,20-29,4931
2021,Aichi,30-39,4709
2021,Aichi,40-49,5121
2021,Aichi,50-59,4810
2021,Aichi,60-69,3382
2021,Aichi,70-79,1834
2021,Aichi,over_80,274
2021,Aichi,under_19,6392
2020,Yamanashi,20-29,1168
2020,Yamanashi,30-39,656
2020,Yamanashi,40-49,713
2020,Yamanashi,50-59,790
2020,Yamanashi,60-69,754
2020,Yamanashi,70-79,390
2020,Yamanashi,over_80,68
2020,Yamanashi,under_19,1172
2020,Yamaguchi,20-29,1671
2020,Yamaguchi,30-39,974
2020,Yamaguchi,40-49,1121
2020,Yamaguchi,50-59,1064
2020,Yamaguchi,60-69,1165
2020,Yamaguchi,70-79,724
2020,Yamaguchi,over_80,117
2020,Yamaguchi,under_19,1597
2020,Yamagata,20-29,1020
2020,Yamagata,30-39,602
2020,Yamagata,40-49,566
2020,Yamagata,50-59,619
2020,Yamagata,60-69,644
2020,Yamagata,70-79,302
2020,Yamagata,over_80,41
2020,Yamagata,under_19,790
2020,Wakayama,20-29,1156
2020,Wakayama,30-39,688
2020,Wakayama,40-49,697
2020,Wakayama,50-59,874
2020,Wakayama,60-69,897
2020,Wakayama,70-79,424
2020,Wakayama,over_80,61
2020,Wakayama,under_19,1079
2020,Toyama,20-29,1512
2020,Toyama,30-39,815
2020,Toyama,40-49,881
2020,Toyama,50-59,886
2020,Toyama,60-69,878
2020,Toyama,70-79,477
2020,Toyama,over_80,67
2020,Toyama,under_19,995
2020,Tottori,20-29,535
2020,Tottori,30-39,337
2020,Tottori,40-49,384
2020,Tottori,50-59,378
2020,Tottori,60-69,425
2020,Tottori,70-79,218
2020,Tottori,over_80,27
2020,Tottori,under_19,481
2020,Tokyo,20-29,45329
2020,Tokyo,30-39,37319
2020,Tokyo,40-49,38743
2020,Tokyo,50-59,33694
2020,Tokyo,60-69,22146
2020,Tokyo,70-79,14393
2020,Tokyo,over_80,2840
2020,Tokyo,under_19,46426
2020,Tokushima,20-29,865
2020,Tokushima,30-39,491
2020,Tokushima,40-49,536
2020,Tokushima,50-59,486
2020,Tokushima,60-69,544
2020,Tokushima,70-79,313
2020,Tokushima,over_80,40
2020,Tokushima,under_19,671
2020,Tochigi,20-29,2537
2020,Tochigi,30-39,1618
2020,Tochigi,40-49,1889
2020,Tochigi,50-59,1762
2020,Tochigi,60-69,1559
2020,Tochigi,70-79,899
2020,Tochigi,over_80,112
2020,Tochigi,under_19,2548
2020,Shizuoka,20-29,5410
2020,Shizuoka,30-39,3736
2020,Shizuoka,40-49,4015
2020,Shizuoka,50-59,4077
2020,Shizuoka,60-69,3632
2020,Shizuoka,70-79,2202
2020,Shizuoka,over_80,346
2020,Shizuoka,under_19,5699
2020,Shimane,20-29,666
2020,Shimane,30-39,336
2020,Shimane,40-49,313
2020,Shimane,50-59,368
2020,Shimane,60-69,389
2020,Shimane,70-79,241
2020,Shimane,over_80,36
2020,Shimane,under_19,483
2020,Shiga,20-29,2833
2020,Shiga,30-39,1707
2020,Shiga,40-49,2000
2020,Shiga,50-59,1818
2020,Shiga,60-69,1555
2020,Shiga,70-79,831
2020,Shiga,over_80,108
2020,Shiga,under_19,3086
2020,Saitama,20-29,15216
2020,Saitama,30-39,8639
2020,Saitama,40-49,9808
2020,Saitama,50-59,9676
2020,Saitama,60-69,8234
2020,Saitama,70-79,5328
2020,Saitama,over_80,731
2020,Saitama,under_19,16342
2020,Saga,20-29,1043
2020,Saga,30-39,558
2020,Saga,40-49,585
2020,Saga,50-59,574
2020,Saga,60-69,578
2020,Saga,70-79,333
2020,Saga,over_80,58
2020,Saga,under_19,967
2020,Osaka,20-29,22196
2020,Osaka,30-39,13668
2020,Osaka,40-49,15827
2020,Osaka,50-59,14789
2020,Osaka,60-69,11150
2020,Osaka,70-79,7105
2020,Osaka,over_80,1095
2020,Osaka,under_19,25161
2020,Okinawa,20-29,2298
2020,Okinawa,30-39,1868
2020,Okinawa,40-49,2016
2020,Okinawa,50-59,1716
2020,Okinawa,60-69,1414
2020,Okinawa,70-79,656
2020,Okinawa,over_80,155
2020,Okinawa,under_19,2813
2020,Okayama,20-29,2989
2020,Okayama,30-39,1639
2020,Okayama,40-49,1761
2020,Okayama,50-59,1695
2020,Okayama,60-69,1613
2020,Okayama,70-79,854
2020,Okayama,over_80,114
2020,Okayama,under_19,3059
2020,Oita,20-29,1315
2020,Oita,30-39,690
2020,Oita,40-49,821
2020,Oita,50-59,794
2020,Oita,60-69,890
2020,Oita,70-79,466
2020,Oita,over_80,74
2020,Oita,under_19,1078
2020,Niigata,20-29,2295
2020,Niigata,30-39,1198
2020,Niigata,40-49,1336
2020,Niigata,50-59,1454
2020,Niigata,60-69,1507
2020,Niigata,70-79,716
2020,Niigata,over_80,89
2020,Niigata,under_19,2032
2020,Nara,20-29,2596
2020,Nara,30-39,1370
2020,Nara,40-49,1755
2020,Nara,50-59,1885
2020,Nara,60-69,1950
2020,Nara,70-79,1290
2020,Nara,over_80,167
2020,Nara,under_19,2714
2020,Nagasaki,20-29,1495
2020,Nagasaki,30-39,902
2020,Nagasaki,40-49,946
2020,Nagasaki,50-59,890
2020,Nagasaki,60-69,858
2020,Nagasaki,70-79,510
2020,Nagasaki,over_80,100
2020,Nagasaki,under_19,1286
2020,Nagano,20-29,2632
2020,Nagano,30-39,1612
2020,Nagano,40-49,1907
2020,Nagano,50-59,2008
2020,Nagano,60-69,1912
2020,Nagano,70-79,1147
2020,Nagano,over_80,170
2020,Nagano,under_19,3348
2020,Miyazaki,20-29,904
2020,Miyazaki,30-39,532
2020,Miyazaki,40-49,644
2020,Miyazaki,50-59,605
2020,Miyazaki,60-69,716
2020,Miyazaki,70-79,337
2020,Miyazaki,over_80,61
2020,Miyazaki,under_19,945
2020,Miyagi,20-29,3208
2020,Miyagi,30-39,1717
2020,Miyagi,40-49,1698
2020,Miyagi,50-59,1777
2020,Miyagi,60-69,1744
2020,Miyagi,70-79,898
2020,Miyagi,over_80,124
2020,Miyagi,under_19,2279
2020,Mie,20-29,2828
2020,Mie,30-39,1833
2020,Mie,40-49,2046
2020,Mie,50-59,2140
2020,Mie,60-69,1771
2020,Mie,70-79,935
2020,Mie,over_80,117
2020,Mie,under_19,3009
2020,Kyoto,20-29,6568
2020,Kyoto,30-39,3380
2020,Kyoto,40-49,4137
2020,Kyoto,50-59,3814
2020,Kyoto,60-69,3136
2020,Kyoto,70-79,2107
2020,Kyoto,over_80,325
2020,Kyoto,under_19,7493
2020,Kumamoto,20-29,2228
2020,Kumamoto,30-39,1309
2020,Kumamoto,40-49,1527
2020,Kumamoto,50-59,1368
2020,Kumamoto,60-69,1314
2020,Kumamoto,70-79,702
2020,Kumamoto,over_80,120
2020,Kumamoto,under_19,2012
2020,Kochi,20-29,671
2020,Kochi,30-39,425
2020,Kochi,40-49,413
2020,Kochi,50-59,496
2020,Kochi,60-69,477
2020,Kochi,70-79,275
2020,Kochi,over_80,45
2020,Kochi,under_19,626
2020,Kanagawa,20-29,24138
2020,Kanagawa,30-39,15725
2020,Kanagawa,40-49,19828
2020,Kanagawa,50-59,19742
2020,Kanagawa,60-69,13972
2020,Kanagawa,70-79,9326
2020,Kanagawa,over_80,1616
2020,Kanagawa,under_19,27837
2020,Kagoshima,20-29,1317
2020,Kagoshima,30-39,870
2020,Kagoshima,40-49,896
2020,Kagoshima,50-59,952
2020,Kagoshima,60-69,1072
2020,Kagoshima,70-79,534
2020,Kagoshima,over_80,98
2020,Kagoshima,under_19,1217
2020,Kagawa,20-29,1249
2020,Kagawa,30-39,729
2020,Kagawa,40-49,805
2020,Kagawa,50-59,838
2020,Kagawa,60-69,838
2020,Kagawa,70-79,486
2020,Kagawa,over_80,60
2020,Kagawa,under_19,1075
2020,Iwate,20-29,907
2020,Iwate,30-39,516
2020,Iwate,40-49,580
2020,Iwate,50-59,660
2020,Iwate,60-69,706
2020,Iwate,70-79,302
2020,Iwate,over_80,38
2020,Iwate,under_19,824
2020,Ishikawa,20-29,1895
2020,Ishikawa,30-39,957
2020,Ishikawa,40-49,1124
2020,Ishikawa,50-59,996
2020,Ishikawa,60-69,904
2020,Ishikawa,70-79,482
2020,Ishikawa,over_80,74
2020,Ishikawa,under_19,2102
2020,Ibaraki,20-29,4310
2020,Ibaraki,30-39,2515
2020,Ibaraki,40-49,2889
2020,Ibaraki,50-59,2859
2020,Ibaraki,60-69,2697
2020,Ibaraki,70-79,1554
2020,Ibaraki,over_80,187
2020,Ibaraki,under_19,4794
2020,Hyogo,20-29,11229
2020,Hyogo,30-39,6820
2020,Hyogo,40-49,8502
2020,Hyogo,50-59,8463
2020,Hyogo,60-69,7284
2020,Hyogo,70-79,4384
2020,Hyogo,over_80,681
2020,Hyogo,under_19,11714
2020,Hokkaido,20-29,6351
2020,Hokkaido,30-39,3650
2020,Hokkaido,40-49,4159
2020,Hokkaido,50-59,4292
2020,Hokkaido,60-69,3884
2020,Hokkaido,70-79,2111
2020,Hokkaido,over_80,367
2020,Hokkaido,under_19,5756
2020,Hiroshima,20-29,4479
2020,Hiroshima,30-39,2750
2020,Hiroshima,40-49,3007
2020,Hiroshima,50-59,2823
2020,Hiroshima,60-69,2626
2020,Hiroshima,70-79,1580
2020,Hiroshima,over_80,256
2020,Hiroshima,under_19,4498
2020,Gunma,20-29,2667
2020,Gunma,30-39,1335
2020,Gunma,40-49,1632
2020,Gunma,50-59,1628
2020,Gunma,60-69,1522
2020,Gunma,70-79,862
2020,Gunma,over_80,101
2020,Gunma,under_19,3315
2020,Gifu,20-29,3212
2020,Gifu,30-39,1750
2020,Gifu,40-49,2077
2020,Gifu,50-59,2158
2020,Gifu,60-69,1992
2020,Gifu,70-79,1043
2020,Gifu,over_80,140
2020,Gifu,under_19,3014
2020,Fukushima,20-29,1626
2020,Fukushima,30-39,924
2020,Fukushima,40-49,1010
2020,Fukushima,50-59,1191
2020,Fukushima,60-69,1252
2020,Fukushima,70-79,537
2020,Fukushima,over_80,84
2020,Fukushima,under_19,1654
2020,Fukuoka,20-29,9785
2020,Fukuoka,30-39,6086
2020,Fukuoka,40-49,6523
2020,Fukuoka,50-59,5969
2020,Fukuoka,60-69,5516
2020,Fukuoka,70-79,3096
2020,Fukuoka,over_80,543
2020,Fukuoka,under_19,9216
2020,Fukui,20-29,1123
2020,Fukui,30-39,624
2020,Fukui,40-49,645
2020,Fukui,50-59,724
2020,Fukui,60-69,628
2020,Fukui,70-79,357
2020,Fukui,over_80,38
2020,Fukui,under_19,997
2020,Ehime,20-29,1535
2020,Ehime,30-39,918
2020,Ehime,40-49,1035
2020,Ehime,50-59,973
2020,Ehime,60-69,999
2020,Ehime,70-79,502
2020,Ehime,over_80,89
2020,Ehime,under_19,1322
2020,Chiba,20-29,13318
2020,Chiba,30-39,8335
2020,Chiba,40-49,10487
2020,Chiba,50-59,10160
2020,Chiba,60-69,8911
2020,Chiba,70-79,6047
2020,Chiba,over_80,927
2020,Chiba,under_19,16065
2020,Aomori,20-29,909
2020,Aomori,30-39,530
2020,Aomori,40-49,602
2020,Aomori,50-59,681
2020,Aomori,60-69,648
2020,Aomori,70-79,340
2020,Aomori,over_80,45
2020,Aomori,under_19,825
2020,Akita,20-29,634
2020,Akita,30-39,318
2020,Akita,40-49,366
2020,Akita,50-59,395
2020,Akita,60-69,461
2020,Akita,70-79,214
2020,Akita,over_80,22
2020,Akita,under_19,413
2020,Aichi,20-29,16631
2020,Aichi,30-39,10742
2020,Aichi,40-49,12001
2020,Aichi,50-59,11451
2020,Aichi,60-69,8453
2020,Aichi,70-79,4499
2020,Aichi,over_80,667
2020,Aichi,under_19,17195
2019,Yamanashi,20-29,4867
2019,Yamanashi,30-39,2639
2019,Yamanashi,40-49,2807
2019,Yamanashi,50-59,2970
2019,Yamanashi,60-69,2868
2019,Yamanashi,70-79,1470
2019,Yamanashi,over_80,227
2019,Yamanashi,under_19,4915
2019,Yamaguchi,20-29,6286
2019,Yamaguchi,30-39,3719
2019,Yamaguchi,40-49,3969
2019,Yamaguchi,50-59,3885
2019,Yamaguchi,60-69,3724
2019,Yamaguchi,70-79,2059
2019,Yamaguchi,over_80,354
2019,Yamaguchi,under_19,6471
2019,Yamagata,20-29,4091
2019,Yamagata,30-39,2417
2019,Yamagata,40-49,2300
2019,Yamagata,50-59,2490
2019,Yamagata,60-69,2582
2019,Yamagata,70-79,1013
2019,Yamagata,over_80,129
2019,Yamagata,under_19,4594
2019,Wakayama,20-29,5204
2019,Wakayama,30-39,3099
2019,Wakayama,40-49,3313
2019,Wakayama,50-59,3371
2019,Wakayama,60-69,3013
2019,Wakayama,70-79,1478
2019,Wakayama,over_80,219
2019,Wakayama,under_19,5304
2019,Toyama,20-29,5848
2019,Toyama,30-39,3393
2019,Toyama,40-49,3639
2019,Toyama,50-59,3273
2019,Toyama,60-69,3206
2019,Toyama,70-79,1713
2019,Toyama,over_80,250
2019,Toyama,under_19,5452
2019,Tottori,20-29,2535
2019,Tottori,30-39,1550
2019,Tottori,40-49,1559
2019,Tottori,50-59,1445
2019,Tottori,60-69,1552
2019,Tottori,70-79,676
2019,Tottori,over_80,88
2019,Tottori,under_19,2693
2019,Tokyo,20-29,148430
2019,Tokyo,30-39,122510
2019,Tokyo,40-49,120235
2019,Tokyo,50-59,96790
2019,Tokyo,60-69,60725
2019,Tokyo,70-79,38010
2019,Tokyo,over_80,8315
2019,Tokyo,under_19,169672
2019,Tokushima,20-29,3583
2019,Tokushima,30-39,2053
2019,Tokushima,40-49,2238
2019,Tokushima,50-59,2173
2019,Tokushima,60-69,2114
2019,Tokushima,70-79,999
2019,Tokushima,over_80,149
2019,Tokushima,under_19,3103
2019,Tochigi,20-29,10334
2019,Tochigi,30-39,6719
2019,Tochigi,40-49,6762
2019,Tochigi,50-59,5970
2019,Tochigi,60-69,5731
2019,Tochigi,70-79,2762
2019,Tochigi,over_80,346
2019,Tochigi,under_19,10418
2019,Shizuoka,20-29,21063
2019,Shizuoka,30-39,13992
2019,Shizuoka,40-49,14584
2019,Shizuoka,50-59,13535
2019,Shizuoka,60-69,12467
2019,Shizuoka,70-79,6973
2019,Shizuoka,over_80,1086
2019,Shizuoka,under_19,27153
2019,Shimane,20-29,2717
2019,Shimane,30-39,1426
2019,Shimane,40-49,1338
2019,Shimane,50-59,1447
2019,Shimane,60-69,1526
2019,Shimane,70-79,668
2019,Shimane,over_80,88
2019,Shimane,under_19,2274
2019,Shiga,20-29,11194
2019,Shiga,30-39,6477
2019,Shiga,40-49,7369
2019,Shiga,50-59,6291
2019,Shiga,60-69,5054
2019,Shiga,70-79,2725
2019,Shiga,over_80,342
2019,Shiga,under_19,14276
2019,Saitama,20-29,54608
2019,Saitama,30-39,33084
2019,Saitama,40-49,35751
2019,Saitama,50-59,31758
2019,Saitama,60-69,25044
2019,Saitama,70-79,14471
2019,Saitama,over_80,2078
2019,Saitama,under_19,60186
2019,Saga,20-29,4478
2019,Saga,30-39,2723
2019,Saga,40-49,2848
2019,Saga,50-59,2622
2019,Saga,60-69,2671
2019,Saga,70-79,1234
2019,Saga,over_80,181
2019,Saga,under_19,4645
2019,Osaka,20-29,78602
2019,Osaka,30-39,49926
2019,Osaka,40-49,55193
2019,Osaka,50-59,45254
2019,Osaka,60-69,31785
2019,Osaka,70-79,19434
2019,Osaka,over_80,3401
2019,Osaka,under_19,90413
2019,Okinawa,20-29,9268
2019,Okinawa,30-39,7117
2019,Okinawa,40-49,7632
2019,Okinawa,50-59,6627
2019,Okinawa,60-69,5770
2019,Okinawa,70-79,2536
2019,Okinawa,over_80,617
2019,Okinawa,under_19,12874
2019,Okayama,20-29,11725
2019,Okayama,30-39,6624
2019,Okayama,40-49,6900
2019,Okayama,50-59,5781
2019,Okayama,60-69,5264
2019,Okayama,70-79,2789
2019,Okayama,over_80,457
2019,Okayama,under_19,11211
2019,Oita,20-29,5511
2019,Oita,30-39,3310
2019,Oita,40-49,3527
2019,Oita,50-59,3184
2019,Oita,60-69,3125
2019,Oita,70-79,1606
2019,Oita,over_80,257
2019,Oita,under_19,6131
2019,Niigata,20-29,9394
2019,Niigata,30-39,5487
2019,Niigata,40-49,5379
2019,Niigata,50-59,5429
2019,Niigata,60-69,5510
2019,Niigata,70-79,2478
2019,Niigata,over_80,344
2019,Niigata,under_19,11362
2019,Nara,20-29,9727
2019,Nara,30-39,5581
2019,Nara,40-49,6707
2019,Nara,50-59,6690
2019,Nara,60-69,5935
2019,Nara,70-79,3720
2019,Nara,over_80,582
2019,Nara,under_19,11350
2019,Nagasaki,20-29,5886
2019,Nagasaki,30-39,3313
2019,Nagasaki,40-49,3602
2019,Nagasaki,50-59,3627
2019,Nagasaki,60-69,3517
2019,Nagasaki,70-79,1759
2019,Nagasaki,over_80,365
2019,Nagasaki,under_19,7508
2019,Nagano,20-29,9667
2019,Nagano,30-39,6214
2019,Nagano,40-49,6847
2019,Nagano,50-59,6813
2019,Nagano,60-69,6529
2019,Nagano,70-79,3687
2019,Nagano,over_80,562
2019,Nagano,under_19,12478
2019,Miyazaki,20-29,3874
2019,Miyazaki,30-39,2583
2019,Miyazaki,40-49,2621
2019,Miyazaki,50-59,2689
2019,Miyazaki,60-69,2638
2019,Miyazaki,70-79,1271
2019,Miyazaki,over_80,241
2019,Miyazaki,under_19,4716
2019,Miyagi,20-29,11875
2019,Miyagi,30-39,7352
2019,Miyagi,40-49,7067
2019,Miyagi,50-59,6459
2019,Miyagi,60-69,5849
2019,Miyagi,70-79,2637
2019,Miyagi,over_80,427
2019,Miyagi,under_19,11004
2019,Mie,20-29,11397
2019,Mie,30-39,6948
2019,Mie,40-49,7601
2019,Mie,50-59,7180
2019,Mie,60-69,6087
2019,Mie,70-79,3094
2019,Mie,over_80,433
2019,Mie,under_19,11205
2019,Kyoto,20-29,23312
2019,Kyoto,30-39,12958
2019,Kyoto,40-49,14691
2019,Kyoto,50-59,12539
2019,Kyoto,60-69,9744
2019,Kyoto,70-79,6086
2019,Kyoto,over_80,997
2019,Kyoto,under_19,26384
2019,Kumamoto,20-29,9174
2019,Kumamoto,30-39,5788
2019,Kumamoto,40-49,5749
2019,Kumamoto,50-59,5440
2019,Kumamoto,60-69,5481
2019,Kumamoto,70-79,2565
2019,Kumamoto,over_80,416
2019,Kumamoto,under_19,10779
2019,Kochi,20-29,2539
2019,Kochi,30-39,1492
2019,Kochi,40-49,1773
2019,Kochi,50-59,1697
2019,Kochi,60-69,1753
2019,Kochi,70-79,922
2019,Kochi,over_80,136
2019,Kochi,under_19,2668
2019,Kanagawa,20-29,80170
2019,Kanagawa,30-39,53675
2019,Kanagawa,40-49,62458
2019,Kanagawa,50-59,56526
2019,Kanagawa,60-69,39102
2019,Kanagawa,70-79,25463
2019,Kanagawa,over_80,4737
2019,Kanagawa,under_19,93293
2019,Kagoshima,20-29,6102
2019,Kagoshima,30-39,3862
2019,Kagoshima,40-49,3716
2019,Kagoshima,50-59,3613
2019,Kagoshima,60-69,4038
2019,Kagoshima,70-79,1789
2019,Kagoshima,over_80,345
2019,Kagoshima,under_19,6207
2019,Kagawa,20-29,4940
2019,Kagawa,30-39,3132
2019,Kagawa,40-49,3474
2019,Kagawa,50-59,3022
2019,Kagawa,60-69,2846
2019,Kagawa,70-79,1516
2019,Kagawa,over_80,256
2019,Kagawa,under_19,5192
2019,Iwate,20-29,3797
2019,Iwate,30-39,2382
2019,Iwate,40-49,2447
2019,Iwate,50-59,2544
2019,Iwate,60-69,2793
2019,Iwate,70-79,1304
2019,Iwate,over_80,190
2019,Iwate,under_19,3848
2019,Ishikawa,20-29,7869
2019,Ishikawa,30-39,4404
2019,Ishikawa,40-49,4519
2019,Ishikawa,50-59,4099
2019,Ishikawa,60-69,3643
2019,Ishikawa,70-79,1861
2019,Ishikawa,over_80,268
2019,Ishikawa,under_19,7585
2019,Ibaraki,20-29,15872
2019,Ibaraki,30-39,9731
2019,Ibaraki,40-49,10623
2019,Ibaraki,50-59,9577
2019,Ibaraki,60-69,9118
2019,Ibaraki,70-79,4564
2019,Ibaraki,over_80,616
2019,Ibaraki,under_19,18170
2019,Hyogo,20-29,42439
2019,Hyogo,30-39,26509
2019,Hyogo,40-49,30625
2019,Hyogo,50-59,28049
2019,Hyogo,60-69,21990
2019,Hyogo,70-79,12666
2019,Hyogo,over_80,2222
2019,Hyogo,under_19,52032
2019,Hokkaido,20-29,25240
2019,Hokkaido,30-39,16005
2019,Hokkaido,40-49,16848
2019,Hokkaido,50-59,16120
2019,Hokkaido,60-69,14216
2019,Hokkaido,70-79,6793
2019,Hokkaido,over_80,1254
2019,Hokkaido,under_19,23137
2019,Hiroshima,20-29,17089
2019,Hiroshima,30-39,10251
2019,Hiroshima,40-49,10863
2019,Hiroshima,50-59,9387
2019,Hiroshima,60-69,8196
2019,Hiroshima,70-79,4733
2019,Hiroshima,over_80,722
2019,Hiroshima,under_19,19251
2019,Gunma,20-29,10708
2019,Gunma,30-39,5788
2019,Gunma,40-49,6423
2019,Gunma,50-59,5999
2019,Gunma,60-69,5286
2019,Gunma,70-79,2692
2019,Gunma,over_80,385
2019,Gunma,under_19,11970
2019,Gifu,20-29,13018
2019,Gifu,30-39,7351
2019,Gifu,40-49,8330
2019,Gifu,50-59,8006
2019,Gifu,60-69,7236
2019,Gifu,70-79,3472
2019,Gifu,over_80,544
2019,Gifu,under_19,12855
2019,Fukushima,20-29,6895
2019,Fukushima,30-39,4182
2019,Fukushima,40-49,4146
2019,Fukushima,50-59,4466
2019,Fukushima,60-69,4769
2019,Fukushima,70-79,2019
2019,Fukushima,over_80,345
2019,Fukushima,under_19,7492
