year,city,age_group,application
2023,Miyazaki,70-79,942
2023,Miyazaki,over_80,175
2023,Miyazaki,under_19,3078
2023,Miyagi,20-29,8748
2023,Miyagi,30-39,4613
2023,Miyagi,40-49,4834
2023,Miyagi,50-59,4578
2023,Miyagi,60-69,3636
2023,Miyagi,70-79,2007
2023,Miyagi,over_80,315
2023,Miyagi,under_19,7522
2023,Mie,20-29,9125
2023,Mie,30-39,4304
2023,Mie,40-49,4730
2023,Mie,50-59,4872
2023,Mie,60-69,3678
2023,Mie,70-79,1884
2023,Mie,over_80,281
2023,Mie,under_19,7963
2023,Kyoto,20-29,22974
2023,Kyoto,30-39,9488
2023,Kyoto,40-49,10368
2023,Kyoto,50-59,10093
2023,Kyoto,60-69,6204
2023,Kyoto,70-79,3464
2023,Kyoto,over_80,751
2023,Kyoto,under_19,20836
2023,Kumamoto,20-29,7636
2023,Kumamoto,30-39,4144
2023,Kumamoto,40-49,4516
2023,Kumamoto,50-59,4384
2023,Kumamoto,60-69,3888
2023,Kumamoto,70-79,2184
2023,Kumamoto,over_80,425
2023,Kumamoto,under_19,7178
2023,Kochi,20-29,1926
2023,Kochi,30-39,1029
2023,Kochi,40-49,1221
2023,Kochi,50-59,1301
2023,Kochi,60-69,1105
2023,Kochi,70-79,585
2023,Kochi,over_80,111
2023,Kochi,under_19,1933
2023,Kanagawa,20-29,86642
2023,Kanagawa,30-39,46654
2023,Kanagawa,40-49,47740
2023,Kanagawa,50-59,47850
2023,Kanagawa,60-69,25773
2023,Kanagawa,70-79,13826
2023,Kanagawa,over_80,3253
2023,Kanagawa,under_19,76904
2023,Kagoshima,20-29,4287
2023,Kagoshima,30-39,2427
2023,Kagoshima,40-49,2497
2023,Kagoshima,50-59,2380
2023,Kagoshima,60-69,2257
2023,Kagoshima,70-79,1326
2023,Kagoshima,over_80,236
2023,Kagoshima,under_19,4275
2023,Kagawa,20-29,3745
2023,Kagawa,30-39,1933
2023,Kagawa,40-49,2188
2023,Kagawa,50-59,2168
2023,Kagawa,60-69,1647
2023,Kagawa,70-79,972
2023,Kagawa,over_80,180
2023,Kagawa,under_19,3455
2023,Iwate,20-29,2291
2023,Iwate,30-39,1339
2023,Iwate,40-49,1374
2023,Iwate,50-59,1481
2023,Iwate,60-69,1285
2023,Iwate,70-79,725
2023,Iwate,over_80,112
2023,Iwate,under_19,2324
2023,Ishikawa,20-29,6171
2023,Ishikawa,30-39,2776
2023,Ishikawa,40-49,2876
2023,Ishikawa,50-59,2786
2023,Ishikawa,60-69,2175
2023,Ishikawa,70-79,1270
2023,Ishikawa,over_80,212
2023,Ishikawa,under_19,5068
2023,Ibaraki,20-29,12911
2023,Ibaraki,30-39,6835
2023,Ibaraki,40-49,7798
2023,Ibaraki,50-59,7641
2023,Ibaraki,60-69,5391
2023,Ibaraki,70-79,3273
2023,Ibaraki,over_80,587
2023,Ibaraki,under_19,14491
2023,Hyogo,20-29,40697
2023,Hyogo,30-39,19581
2023,Hyogo,40-49,21425
2023,Hyogo,50-59,23012
2023,Hyogo,60-69,14166
2023,Hyogo,70-79,7175
2023,Hyogo,over_80,1527
2023,Hyogo,under_19,37440
2023,Hokkaido,20-29,17448
2023,Hokkaido,30-39,9708
2023,Hokkaido,40-49,10410
2023,Hokkaido,50-59,10330
2023,Hokkaido,60-69,8491
2023,Hokkaido,70-79,4720
2023,Hokkaido,over_80,816
2023,Hokkaido,under_19,15743
2023,Hiroshima,20-29,13716
2023,Hiroshima,30-39,6998
2023,Hiroshima,40-49,7286
2023,Hiroshima,50-59,7187
2023,Hiroshima,60-69,4878
2023,Hiroshima,70-79,2858
2023,Hiroshima,over_80,584
2023,Hiroshima,under_19,12342
2023,Gunma,20-29,8143
2023,Gunma,30-39,4040
2023,Gunma,40-49,4330
2023,Gunma,50-59,4391
2023,Gunma,60-69,3044
2023,Gunma,70-79,1830
2023,Gunma,over_80,325
2023,Gunma,under_19,8073
2023,Gifu,20-29,10517
2023,Gifu,30-39,4559
2023,Gifu,40-49,5265
2023,Gifu,50-59,5645
2023,Gifu,60-69,4082
2023,Gifu,70-79,2183
2023,Gifu,over_80,371
2023,Gifu,under_19,8573
2023,Fukushima,20-29,4480
2023,Fukushima,30-39,2536
2023,Fukushima,40-49,2639
2023,Fukushima,50-59,2865
2023,Fukushima,60-69,2747
2023,Fukushima,70-79,1515
2023,Fukushima,over_80,234
2023,Fukushima,under_19,4311
2023,Fukuoka,20-29,38320
2023,Fukuoka,30-39,19991
2023,Fukuoka,40-49,20278
2023,Fukuoka,50-59,18507
2023,Fukuoka,60-69,12919
2023,Fukuoka,70-79,7268
2023,Fukuoka,over_80,1317
2023,Fukuoka,under_19,32400
2023,Fukui,20-29,3514
2023,Fukui,30-39,1714
2023,Fukui,40-49,1826
2023,Fukui,50-59,1904
2023,Fukui,60-69,1495
2023,Fukui,70-79,749
2023,Fukui,over_80,131
2023,Fukui,under_19,3291
2023,Ehime,20-29,4378
2023,Ehime,30-39,2359
2023,Ehime,40-49,2587
2023,Ehime,50-59,2686
2023,Ehime,60-69,2085
2023,Ehime,70-79,1210
2023,Ehime,over_80,209
2023,Ehime,under_19,4416
2023,Chiba,20-29,46833
2023,Chiba,30-39,24381
2023,Chiba,40-49,24782
2023,Chiba,50-59,24964
2023,Chiba,60-69,15226
2023,Chiba,70-79,8803
2023,Chiba,over_80,1828
2023,Chiba,under_19,42526
2023,Aomori,20-29,2049
2023,Aomori,30-39,1175
2023,Aomori,40-49,1288
2023,Aomori,50-59,1367
2023,Aomori,60-69,1175
2023,Aomori,70-79,589
2023,Aomori,over_80,120
2023,Aomori,under_19,2159
2023,Akita,20-29,1607
2023,Akita,30-39,830
2023,Akita,40-49,928
2023,Akita,50-59,1059
2023,Akita,60-69,1090
2023,Akita,70-79,496
2023,Akita,over_80,81
2023,Akita,under_19,1435
2023,Aichi,20-29,58577
2023,Aichi,30-39,30034
2023,Aichi,40-49,30087
2023,Aichi,50-59,29403
2023,Aichi,60-69,16442
2023,Aichi,70-79,8227
2023,Aichi,over_80,1495
2023,Aichi,under_19,49370
2022,Yamanashi,20-29,1202
2022,Yamanashi,30-39,692
2022,Yamanashi,40-49,728
2022,Yamanashi,50-59,748
2022,Yamanashi,60-69,602
2022,Yamanashi,70-79,374
2022,Yamanashi,over_80,52
2022,Yamanashi,under_19,1144
2022,Yamaguchi,20-29,1258
2022,Yamaguchi,30-39,774
2022,Yamaguchi,40-49,936
2022,Yamaguchi,50-59,916
2022,Yamaguchi,60-69,758
2022,Yamaguchi,70-79,438
2022,Yamaguchi,over_80,83
2022,Yamaguchi,under_19,1380
2022,Yamagata,20-29,690
2022,Yamagata,30-39,386
2022,Yamagata,40-49,450
2022,Yamagata,50-59,499
2022,Yamagata,60-69,473
2022,Yamagata,70-79,230
2022,Yamagata,over_80,38
2022,Yamagata,under_19,601
2022,Wakayama,20-29,1037
2022,Wakayama,30-39,565
2022,Wakayama,40-49,603
2022,Wakayama,50-59,616
2022,Wakayama,60-69,599
2022,Wakayama,70-79,304
2022,Wakayama,over_80,47
2022,Wakayama,under_19,830
2022,Toyama,20-29,1038
2022,Toyama,30-39,677
2022,Toyama,40-49,774
2022,Toyama,50-59,775
2022,Toyama,60-69,599
2022,Toyama,70-79,325
2022,Toyama,over_80,43
2022,Toyama,under_19,1010
2022,Tottori,20-29,387
2022,Tottori,30-39,200
2022,Tottori,40-49,277
2022,Tottori,50-59,283
2022,Tottori,60-69,243
2022,Tottori,70-79,149
2022,Tottori,over_80,19
2022,Tottori,under_19,501
2022,Tokyo,20-29,66529
2022,Tokyo,30-39,54433
2022,Tokyo,40-49,50729
2022,Tokyo,50-59,38975
2022,Tokyo,60-69,19815
2022,Tokyo,70-79,10307
2022,Tokyo,over_80,2386
2022,Tokyo,under_19,66284
2022,Tokushima,20-29,663
2022,Tokushima,30-39,418
2022,Tokushima,40-49,467
2022,Tokushima,50-59,412
2022,Tokushima,60-69,384
2022,Tokushima,70-79,173
2022,Tokushima,over_80,24
2022,Tokushima,under_19,542
2022,Tochigi,20-29,2249
2022,Tochigi,30-39,1715
2022,Tochigi,40-49,2102
2022,Tochigi,50-59,1752
2022,Tochigi,60-69,1244
2022,Tochigi,70-79,624
2022,Tochigi,over_80,105
2022,Tochigi,under_19,2537
2022,Shizuoka,20-29,4972
2022,Shizuoka,30-39,3534
2022,Shizuoka,40-49,4153
2022,Shizuoka,50-59,4019
2022,Shizuoka,60-69,2668
2022,Shizuoka,70-79,1599
2022,Shizuoka,over_80,330
2022,Shizuoka,under_19,5175
2022,Shimane,20-29,445
2022,Shimane,30-39,238
2022,Shimane,40-49,265
2022,Shimane,50-59,285
2022,Shimane,60-69,254
2022,Shimane,70-79,162
2022,Shimane,over_80,20
2022,Shimane,under_19,437
2022,Shiga,20-29,2878
2022,Shiga,30-39,1610
2022,Shiga,40-49,1922
2022,Shiga,50-59,1753
2022,Shiga,60-69,1063
2022,Shiga,70-79,546
2022,Shiga,over_80,86
2022,Shiga,under_19,2486
2022,Saitama,20-29,15711
2022,Saitama,30-39,9623
2022,Saitama,40-49,10396
2022,Saitama,50-59,9932
2022,Saitama,60-69,6313
2022,Saitama,70-79,3566
2022,Saitama,over_80,651
2022,Saitama,under_19,13878
2022,Saga,20-29,834
2022,Saga,30-39,443
2022,Saga,40-49,537
