Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,0.276670,0.291400,0.276670,0.288630,0.288630,0
2014-02-01,0.291500,0.292480,0.287290,0.290560,0.290560,0
2014-03-01,0.290390,0.295325,0.284450,0.288930,0.288930,0
2014-04-01,0.288600,0.296384,0.284380,0.286720,0.286720,0
2014-05-01,0.287550,0.296709,0.287220,0.294334,0.294334,0
2014-06-01,0.294334,0.294265,0.285490,0.287490,0.287490,0
2014-07-01,0.286700,0.295963,0.284320,0.285830,0.285830,0
2014-08-01,0.284820,0.293893,0.280100,0.280890,0.280890,0
2014-09-01,0.280700,0.284949,0.269960,0.271200,0.271200,0
2014-10-01,0.269760,0.285290,0.265650,0.271840,0.271840,0
2014-11-01,0.265210,0.266035,0.254320,0.261376,0.261376,0
2014-12-01,0.254340,0.264306,0.250230,0.258780,0.258780,0
2015-01-01,0.258860,0.270438,0.254550,0.270563,0.270563,0
2015-02-01,0.270563,0.270380,0.255290,0.263894,0.263894,0
2015-03-01,0.263894,0.263755,0.248420,0.253320,0.253320,0
2015-04-01,0.252630,0.261015,0.245990,0.248050,0.248050,0
2015-05-01,0.248100,0.256660,0.239480,0.239660,0.239660,0
2015-06-01,0.240670,0.250340,0.237710,0.244850,0.244850,0
2015-07-01,0.245850,0.249430,0.242700,0.246470,0.246470,0
2015-08-01,0.248000,0.268230,0.244830,0.260840,0.260840,0
2015-09-01,0.260830,0.270330,0.259470,0.267860,0.267860,0
2015-10-01,0.267990,0.269085,0.259570,0.269085,0.269085,0
2015-11-01,0.261470,0.268456,0.256560,0.258120,0.258120,0
2015-12-01,0.257810,0.271525,0.250720,0.265370,0.265370,0
2016-01-01,0.266560,0.287167,0.266560,0.278033,0.278033,0
2016-02-01,0.270540,0.294846,0.267860,0.285820,0.285820,0
2016-03-01,0.288290,0.290133,0.276840,0.279100,0.279100,0
2016-04-01,0.278190,0.299294,0.278190,0.293820,0.293820,0
2016-05-01,0.302142,0.302948,0.285530,0.286050,0.286050,0
2016-06-01,0.287230,0.315268,0.287230,0.304290,0.304290,0
2016-07-01,0.303970,0.320832,0.290190,0.310395,0.310395,0
2016-08-01,0.301430,0.315856,0.296900,0.299910,0.299910,0
2016-09-01,0.297830,0.310839,0.294920,0.301470,0.301470,0
2016-10-01,0.307314,0.307239,0.291410,0.291400,0.291400,0
2016-11-01,0.292200,0.304099,0.272500,0.273580,0.273580,0
2016-12-01,0.271640,0.280686,0.262020,0.277863,0.277863,0
2017-01-01,0.277863,0.277477,0.264850,0.268110,0.268110,0
2017-02-01,0.268230,0.274341,0.259990,0.265210,0.265210,0
2017-03-01,0.263110,0.273239,0.260340,0.264180,0.264180,0
2017-04-01,0.273396,0.279595,0.261570,0.272361,0.272361,0
2017-05-01,0.263830,0.271061,0.256170,0.263250,0.263250,0
2017-06-01,0.263200,0.272941,0.260850,0.262640,0.262640,0
2017-07-01,0.269876,0.273097,0.259160,0.264850,0.264850,0
2017-08-01,0.264170,0.277523,0.264170,0.266980,0.266980,0
2017-09-01,0.265010,0.278847,0.260530,0.270248,0.270248,0
2017-10-01,0.270248,0.269309,0.257560,0.258870,0.258870,0
2017-11-01,0.257300,0.263390,0.256670,0.260170,0.260170,0
2017-12-01,0.257980,0.260600,0.255440,0.255440,0.255440,0
2018-01-01,0.255440,0.261450,0.253320,0.261450,0.261450,0
2018-02-01,0.260250,0.267200,0.258590,0.265260,0.265260,0
2018-03-01,0.267750,0.270520,0.265280,0.266220,0.266220,0
2018-04-01,0.266670,0.268670,0.262820,0.263070,0.263070,0
2018-05-01,0.263570,0.269660,0.261640,0.267890,0.267890,0
2018-06-01,0.267430,0.270500,0.262120,0.269580,0.269580,0
2018-07-01,0.269520,0.269520,0.263490,0.267540,0.267540,0
2018-08-01,0.267420,0.271490,0.265890,0.267510,0.267510,0
2018-09-01,0.269540,0.271030,0.261310,0.263610,0.263610,0
2018-10-01,0.259900,0.269560,0.259900,0.266270,0.266270,0
2018-11-01,0.266900,0.267790,0.262050,0.263860,0.263860,0
2018-12-01,0.263360,0.271580,0.262320,0.270280,0.270280,0
2019-01-01,0.270670,0.280020,0.270670,0.273240,0.273240,0
2019-02-01,0.274940,0.274940,0.268890,0.270470,0.270470,0
2019-03-01,0.269280,0.273080,0.267410,0.271650,0.271650,0
2019-04-01,0.270060,0.270290,0.267290,0.268360,0.268360,0
2019-05-01,0.269290,0.282540,0.268980,0.279970,0.279970,0
2019-06-01,0.281140,0.283270,0.278750,0.279900,0.279900,0
2019-07-01,0.278320,0.280550,0.276900,0.278010,0.278010,0
2019-08-01,0.279270,0.290910,0.277720,0.286840,0.286840,0
2019-09-01,0.286680,0.287520,0.276360,0.278930,0.278930,0
2019-10-01,0.279510,0.281470,0.270440,0.271490,0.271490,0
2019-11-01,0.273983,0.273983,0.269154,0.270167,0.270167,0
2019-12-01,0.269764,0.273126,0.266092,0.267033,0.267033,0
2020-01-01,0.268389,0.270872,0.263078,0.269980,0.269980,0
