Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,105.300003,105.430000,101.773003,102.758003,102.758003,0
2014-02-01,102.029999,102.799004,100.783997,102.110001,102.110001,0
2014-03-01,101.790001,103.730003,101.199997,102.889000,102.889000,0
2014-04-01,103.220001,104.112999,101.334999,102.564003,102.564003,0
2014-05-01,102.241997,102.994003,100.830002,101.832993,101.832993,0
2014-06-01,101.803001,102.790001,101.239998,101.443001,101.443001,0
2014-07-01,101.279999,102.989998,101.070999,102.839996,102.839996,0
2014-08-01,102.765999,104.370003,101.510002,104.117996,104.117996,0
2014-09-01,104.168999,109.836998,104.089996,109.389999,109.389999,0
2014-10-01,109.622002,112.462997,105.500000,109.212997,109.212997,0
2014-11-01,112.359550,118.969002,112.359550,118.825996,118.825996,0
2014-12-01,118.874001,121.819000,115.580002,119.458000,119.458000,0
2015-01-01,119.672997,120.736000,115.864998,117.449997,117.449997,0
2015-02-01,116.903999,120.402000,116.664001,119.617226,119.617226,0
2015-03-01,119.680000,121.996002,118.330002,120.013000,120.013000,0
2015-04-01,119.952003,120.833000,118.507004,118.970001,118.970001,0
2015-05-01,119.491997,124.445000,118.889999,123.820000,123.820000,0
2015-06-01,124.245003,125.821999,122.003998,122.669998,122.669998,0
2015-07-01,122.407997,124.564003,120.514999,124.070999,124.070999,0
2015-08-01,124.042000,125.272003,116.504997,121.289001,121.289001,0
2015-09-01,121.112999,121.294998,118.792999,119.860001,119.860001,0
2015-10-01,119.869003,121.432999,118.081001,120.627258,120.627258,0
2015-11-01,120.510002,123.592003,120.260002,122.830002,122.830002,0
2015-12-01,123.199997,123.551003,120.003998,120.449997,120.449997,0
2016-01-01,120.288002,121.661003,116.016998,121.339996,121.339996,0
2016-02-01,121.342003,121.402000,111.081001,113.660004,113.660004,0
2016-03-01,112.420998,114.541000,110.690002,112.365997,112.365997,0
2016-04-01,112.480003,112.480003,106.349998,106.349998,106.349998,0
2016-05-01,106.294998,111.419998,105.540001,110.841003,110.841003,0
2016-06-01,110.650002,110.823997,99.973000,102.778000,102.778000,0
2016-07-01,103.053001,107.484001,100.096001,102.332001,102.332001,0
2016-08-01,102.347000,103.519997,99.572998,102.867996,102.867996,0
2016-09-01,103.306999,104.285004,100.100998,101.198997,101.198997,0
2016-10-01,101.330002,105.495003,101.188004,104.565002,104.565002,0
2016-11-01,104.829002,113.942001,101.206001,112.470001,112.470001,0
2016-12-01,114.670998,118.647003,112.875999,116.889999,116.889999,0
2017-01-01,116.889999,118.593002,112.083000,113.650002,113.650002,0
2017-02-01,112.767998,114.941002,111.598999,112.745003,112.745003,0
2017-03-01,113.033997,115.487999,110.121002,111.776001,111.776001,0
2017-04-01,111.358574,111.723999,108.141998,111.302002,111.302002,0
2017-05-01,111.303001,114.335999,110.226501,110.838997,110.838997,0
2017-06-01,110.768997,112.919998,108.944000,112.009003,112.009003,0
2017-07-01,112.400002,114.292999,110.352997,110.510002,110.510002,0
2017-08-01,110.351997,111.019997,108.328003,110.459999,110.459999,0
2017-09-01,110.116997,113.237000,107.321999,112.994347,112.994347,0
2017-10-01,112.459000,114.435997,111.651001,112.996002,112.996002,0
2017-11-01,113.643997,114.724998,110.847000,112.001999,112.001999,0
2017-12-01,112.555000,113.738998,111.455002,112.680000,112.680000,0
2018-01-01,112.680000,113.370003,108.292000,108.732002,108.732002,0
2018-02-01,109.179001,110.467003,105.557999,107.426003,107.426003,0
2018-03-01,106.642998,107.275002,104.667000,106.269997,106.269997,0
2018-04-01,106.269997,109.532997,105.695000,109.098000,109.098000,0
2018-05-01,109.306000,111.385002,108.399002,108.711998,108.711998,0
2018-06-01,108.764999,110.917999,108.762001,110.486000,110.486000,0
2018-07-01,110.737000,113.147003,110.281998,110.994003,110.994003,0
2018-08-01,111.794998,112.137001,109.776001,110.999001,110.999001,0
2018-09-01,110.998001,113.695999,110.394997,113.682999,113.682999,0
2018-10-01,113.783997,114.511002,111.385002,113.052002,113.052002,0
2018-11-01,112.846001,114.183998,112.300003,113.411003,113.411003,0
2018-12-01,113.412003,113.758003,109.658997,110.330002,110.330002,0
2019-01-01,109.629997,109.973999,106.776001,108.981003,108.981003,0
2019-02-01,108.846001,111.434998,108.750000,110.862000,110.862000,0
2019-03-01,111.371002,112.128998,109.728996,110.870003,110.870003,0
2019-04-01,110.992996,112.225998,110.862999,111.677002,111.677002,0
