Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,0.057450,0.059340,0.056520,0.058900,0.058900,0
2014-02-01,0.059330,0.060620,0.058050,0.059950,0.059950,0
2014-03-01,0.060330,0.061090,0.058010,0.060250,0.060250,0
2014-04-01,0.060170,0.061400,0.059570,0.060940,0.060940,0
2014-05-01,0.061160,0.061790,0.060710,0.061320,0.061320,0
2014-06-01,0.061320,0.061360,0.060660,0.061250,0.061250,0
2014-07-01,0.061170,0.061270,0.059600,0.059930,0.059930,0
2014-08-01,0.060000,0.060570,0.058870,0.059080,0.059080,0
2014-09-01,0.058960,0.058990,0.055750,0.056150,0.056150,0
2014-10-01,0.055910,0.057950,0.054300,0.055910,0.055910,0
2014-11-01,0.054610,0.054700,0.051350,0.051440,0.051440,0
2014-12-01,0.051430,0.053470,0.050380,0.051850,0.051850,0
2015-01-01,0.051790,0.053540,0.050440,0.053140,0.053140,0
2015-02-01,0.053140,0.053460,0.051760,0.052340,0.052340,0
2015-03-01,0.052340,0.052460,0.050590,0.051640,0.051640,0
2015-04-01,0.051610,0.052320,0.050480,0.052010,0.052010,0
2015-05-01,0.051860,0.052090,0.049750,0.050050,0.050050,0
2015-06-01,0.049980,0.051460,0.048890,0.050540,0.050540,0
2015-07-01,0.050660,0.051460,0.049120,0.049970,0.049970,0
2015-08-01,0.050040,0.054630,0.048800,0.052490,0.052490,0
2015-09-01,0.052590,0.053500,0.052200,0.053010,0.053010,0
2015-10-01,0.052940,0.053650,0.052070,0.052320,0.052320,0
2015-11-01,0.052280,0.052600,0.051090,0.051640,0.051640,0
2015-12-01,0.051850,0.054030,0.051420,0.053800,0.053800,0
2016-01-01,0.053760,0.056670,0.053700,0.054050,0.054050,0
2016-02-01,0.054030,0.059100,0.053940,0.057610,0.057610,0
2016-03-01,0.058200,0.058470,0.056300,0.057460,0.057460,0
2016-04-01,0.057240,0.060830,0.057060,0.060820,0.060820,0
2016-05-01,0.060820,0.061230,0.058790,0.059300,0.059300,0
2016-06-01,0.059390,0.065850,0.059190,0.064480,0.064480,0
2016-07-01,0.064110,0.066760,0.061970,0.064810,0.064810,0
2016-08-01,0.064830,0.066570,0.063990,0.064610,0.064610,0
2016-09-01,0.064570,0.066560,0.063860,0.065470,0.065470,0
2016-10-01,0.065010,0.065900,0.063890,0.064050,0.064050,0
2016-11-01,0.064540,0.066670,0.060350,0.061230,0.061230,0
2016-12-01,0.059950,0.065870,0.058410,0.059170,0.059170,0
2017-01-01,0.059170,0.061350,0.058340,0.060450,0.060450,0
2017-02-01,0.060920,0.061500,0.059730,0.060860,0.060860,0
2017-03-01,0.060670,0.062420,0.059300,0.061560,0.061560,0
2017-04-01,0.061770,0.063560,0.061000,0.061700,0.061700,0
2017-05-01,0.061700,0.062460,0.060020,0.061780,0.061780,0
2017-06-01,0.061400,0.062220,0.060040,0.060530,0.060530,0
2017-07-01,0.060230,0.061000,0.059120,0.060900,0.060900,0
2017-08-01,0.060860,0.061360,0.059520,0.059620,0.059620,0
2017-09-01,0.059760,0.060220,0.058250,0.059210,0.059210,0
2017-10-01,0.059210,0.059210,0.057790,0.058710,0.058710,0
2017-11-01,0.058320,0.059500,0.057440,0.058940,0.058940,0
2017-12-01,0.058660,0.059280,0.057350,0.057560,0.057560,0
2018-01-01,0.057540,0.058430,0.057010,0.058060,0.058060,0
2018-02-01,0.057540,0.060070,0.056930,0.058760,0.058760,0
2018-03-01,0.059300,0.060410,0.058790,0.059140,0.059140,0
2018-04-01,0.059140,0.059470,0.057440,0.058010,0.058010,0
2018-05-01,0.057670,0.059210,0.056950,0.058960,0.058960,0
2018-06-01,0.058510,0.060220,0.057620,0.059620,0.059620,0
2018-07-01,0.059620,0.061533,0.058804,0.061331,0.061331,0
2018-08-01,0.060869,0.062762,0.060625,0.061579,0.061579,0
2018-09-01,0.061363,0.061839,0.060181,0.060290,0.060290,0
2018-10-01,0.060316,0.062320,0.059883,0.061541,0.061541,0
2018-11-01,0.061762,0.061792,0.060421,0.061128,0.061128,0
2018-12-01,0.061251,0.062672,0.060290,0.062254,0.062254,0
2019-01-01,0.062629,0.064360,0.061086,0.061540,0.061540,0
2019-02-01,0.061483,0.061888,0.060015,0.060234,0.060234,0
2019-03-01,0.060017,0.061270,0.059453,0.060430,0.060430,0
2019-04-01,0.060300,0.060546,0.059354,0.060190,0.060190,0
2019-05-01,0.059949,0.063559,0.059866,0.063023,0.063023,0
2019-06-01,0.063580,0.064373,0.062966,0.063443,0.063443,0
2019-07-01,0.063321,0.064012,0.062661,0.063343,0.063343,0
2019-08-01,0.063167,0.067875,0.062901,0.067135,0.067135,0
2019-09-01,0.067135,0.067861,0.064866,0.065888,0.065888,0
2019-10-01,0.066076,0.067015,0.064187,0.064771,0.064771,0
2019-11-01,0.065076,0.065200,0.063493,0.064146,0.064146,0
2019-12-01,0.063649,0.065127,0.063197,0.064098,0.064098,0
2020-01-01,0.063799,0.064552,0.061902,0.063635,0.063635,0
2020-02-01,0.063909,0.064795,0.062117,0.064598,0.064598,0
2020-03-01,0.064598,0.068518,0.063134,0.065613,0.065613,0
2020-04-01,0.065810,0.066435,0.064227,0.066303,0.066303,0
2020-05-01,0.065769,0.066940,0.065101,0.066098,0.066098,0
2020-06-01,0.066079,0.066482,0.064343,0.065738,0.065738,0
2020-07-01,0.065353,0.067053,0.064659,0.066872,0.066872,0
2020-08-01,0.065832,0.066021,0.064210,0.064912,0.064912,0
2020-09-01,0.064541,0.065242,0.063723,0.064433,0.064433,0
2020-10-01,0.064315,0.064623,0.062930,0.063712,0.063712,0
2020-11-01,0.063712,0.064175,0.062160,0.063070,0.063070,0
2020-12-01,0.062992,0.063487,0.062190,0.063164,0.063164,0
2021-01-01,0.063095,0.063095,0.061243,0.061317,0.061317,0
2021-02-01,0.061368,0.061680,0.060344,0.060602,0.060602,0
2021-03-01,0.060416,0.060622,0.058901,0.059494,0.059494,0
2021-04-01,0.059077,0.060283,0.058707,0.059368,0.059368,0
2021-05-01,0.059139,0.059345,0.057692,0.057885,0.057885,0
2021-06-01,0.058144,0.058783,0.057620,0.058386,0.058386,0
2021-07-01,0.058027,0.059371,0.057681,0.058932,0.058932,0
2021-08-01,0.058933,0.059324,0.058167,0.058724,0.058724,0
2021-09-01,0.058617,0.059152,0.057489,0.057725,0.057725,0
2021-10-01,0.057792,0.058058,0.055576,0.056197,0.056197,0
2021-11-01,0.056072,0.056637,0.055049,0.056067,0.056067,0
2021-12-01,0.056103,0.056454,0.054934,0.055310,0.055310,0
2022-01-01,0.055304,0.055887,0.054511,0.054852,0.054852,0
2022-02-01,0.055281,0.055598,0.054016,0.054016,0.054016,0
2022-03-01,0.054752,0.055359,0.050942,0.051924,0.051924,0
2022-04-01,0.051954,0.051954,0.049299,0.050554,0.050554,0
2022-05-01,0.050583,0.053126,0.050376,0.052048,0.052048,0
2022-06-01,0.051719,0.051767,0.048730,0.048998,0.048998,0
2022-07-01,0.049242,0.050770,0.048307,0.050141,0.050141,0
2022-08-01,0.050476,0.051844,0.049260,0.049744,0.049744,0
2022-09-01,0.049374,0.050170,0.047775,0.049273,0.049273,0
2022-10-01,0.049262,0.049577,0.047628,0.049109,0.049109,0
2022-11-01,0.049050,0.052229,0.048590,0.051529,0.051529,0
2022-12-01,0.051579,0.053058,0.050305,0.052291,0.052291,0
2023-01-01,0.052220,0.053136,0.050735,0.051643,0.051643,0
2023-02-01,0.051830,0.052499,0.050141,0.050940,0.050940,0
2023-03-01,0.050776,0.052976,0.050098,0.051589,0.051589,0
2023-04-01,0.051484,0.052598,0.049802,0.050639,0.050639,0
2023-05-01,0.050218,0.051777,0.049919,0.050566,0.050566,0
2023-06-01,0.051010,0.051334,0.049551,0.050043,0.050043,0
2023-07-01,0.050023,0.052019,0.049571,0.049934,0.049934,0
2023-08-01,0.049871,0.050351,0.048689,0.049084,0.049084,0
2023-09-01,0.049073,0.049346,0.047666,0.047981,0.047981,0
2023-10-01,0.047806,0.048388,0.047292,0.048050,0.048050,0
2023-11-01,0.047412,0.048167,0.046929,0.048148,0.048148,0
2023-12-01,0.047847,0.056921,0.047570,0.049945,0.049945,0
